Product_Id,title,price,brand,department,store,date
1716769,Jugo de Verduras V8 340 ml,$12.90,CAMPBELLS,Abarrotes,HEB,05/07/2022
1643509,Avena en Bolsa 1 kg,$31.00,AVENA NO.1,Abarrotes,HEB,05/07/2022
1796407,Pan de Barra Integral 480 gr,$40.00,BIMBO,Abarrotes,HEB,05/07/2022
1628428,Galletas Crema D/Nieve Surtido 322 gr,$44.00,GAMESA,Abarrotes,HEB,05/07/2022
1722589,Elote en Lata 400 gr,$20.00,HERDEZ,Abarrotes,HEB,05/07/2022
1882375,Frijol Pinto 907 gr,$24.90,MI TIENDA,Abarrotes,HEB,05/07/2022
1729171,Jugo Nectar de Mango 200 ml,$8.00,JUMEX,Abarrotes,HEB,05/07/2022
1762459,Atun Jumbo en Agua 295 gr,$43.00,TUNY,Abarrotes,HEB,05/07/2022
1900945,Hcf Atun en Agua Pouch 74 gr,$16.00,HCF,Abarrotes,HEB,05/07/2022
1781359,Cereal Zucaritas 665gr 665 gr,$68.90,KELLOGGS,Abarrotes,HEB,05/07/2022
1771153,Pan para Hot Dog 340 gr,$28.00,HCF,Abarrotes,HEB,05/07/2022
1704655,Leche Organica Entera 1l 1 lt,$37.00,BOVE,Abarrotes,HEB,05/07/2022
1656874,Tortilla de Maiz Blanca 750 gr,$25.00,MISSION,Abarrotes,HEB,05/07/2022
1772218,Pasta Spagheti 220 gr,$10.20,LA MODERNA,Abarrotes,HEB,05/07/2022
1658356,Manteca Vegetal 250 gr,$20.50,INCA,Abarrotes,HEB,05/07/2022
1736503,Leche Deslactosada Organica 1l 1 lt,$38.00,BOVE,Abarrotes,HEB,05/07/2022
1792513,Arroz Super Extra en Caja 700 gr,$36.50,SAN JOSE,Abarrotes,HEB,05/07/2022
1637194,Pasta Fideo Cambray 200 gr,$7.90,YEMINA,Abarrotes,HEB,05/07/2022
1628899,Azucar Glass 907 gr,$38.90,HEB,Abarrotes,HEB,05/07/2022
1792564,Pasta Spaghetti Mediano 200 gr,$9.50,BARILLA,Abarrotes,HEB,05/07/2022
1640149,Aceite Comestible 900 ml 850 ml,$37.90,AVE,Abarrotes,HEB,05/07/2022
1694416,Pure de Tomate Condimentado 1 kg,$28.00,DEL FUERTE,Abarrotes,HEB,05/07/2022
1792075,Pure de Tomate Condimentado 210 gr,$7.00,LA COSTEÑA,Abarrotes,HEB,05/07/2022
1709425,Lenteja en Bolsa 500 gr,$34.90,VERDE VALLE,Abarrotes,HEB,05/07/2022
1628341,Sopa Fideo 143 gr,$20.00,KNORR,Abarrotes,HEB,05/07/2022
1836649,Frijol Peruano 750 gr,$52.00,VERDE VALLE,Abarrotes,HEB,05/07/2022
1730473,Azucar Estandar 500gr 500 gr,$20.50,HCF,Abarrotes,HEB,05/07/2022
1901884,Café Soluble Clasico 200 gr,$109.00,NESCAFE,Abarrotes,HEB,05/07/2022
2489950,Arroz Extra Largo 907 gr,$18.50,MI TIENDA,Abarrotes,HEB,05/07/2022
2260036,Galletas Barritas Fresa 268gr 268 gr,$34.50,MARINELA,Abarrotes,HEB,05/07/2022
1635370,Alimento en Polvo Sabor Chocolate 357 gr,$40.00,NESQUIK,Abarrotes,HEB,05/07/2022
1633060,Sopa de Camaron C/Limon y Habanero 64 gr,$13.90,MARUCHAN,Abarrotes,HEB,05/07/2022
2227057,Mini Bebida con Jugo Manzana 125 ml,$3.00,CIEL,Abarrotes,HEB,05/07/2022
1684831,Atun Aceite 295 gr,$53.00,DOLORES,Abarrotes,HEB,05/07/2022
1642702,Sopa Ramen de Pollo 85 gr,$6.00,MARUCHAN,Abarrotes,HEB,05/07/2022
1694710,Tortilla de Maiz Blanca 756 gr,$24.00,EXQUISITAS,Abarrotes,HEB,05/07/2022
1857790,Arroz Extra 1 kg,$19.90,TIA CATA,Abarrotes,HEB,05/07/2022
1627357,Galletas Barras de Coco 468 gr,$46.00,GAMESA,Abarrotes,HEB,05/07/2022
1770529,Pan Tostado Regular 210 gr,$32.00,BIMBO,Abarrotes,HEB,05/07/2022
1712287,Jugo de Naranja con Pulpa 1.5 lt,$72.00,HEB,Abarrotes,HEB,05/07/2022
1792558,Pasta Fideo 2 200 gr,$11.50,BARILLA,Abarrotes,HEB,05/07/2022
1709716,Frijoles Peruanos Refritos 400 gr,$13.50,LA SIERRA,Abarrotes,HEB,05/07/2022
1641280,Pan para Hamburguesa Regular 8 pz,$39.00,HEB,Abarrotes,HEB,05/07/2022
1653394,Galletas Pekepakes 366 gr,$61.00,GAMESA,Abarrotes,HEB,05/07/2022
1641283,Pan Hot Dog Blanco 340 gr,$34.90,HEB,Abarrotes,HEB,05/07/2022
1792411,Arroz Extra Largo 900 gr,$34.50,DIAMANTE,Abarrotes,HEB,05/07/2022
1638667,Galletas Emperador Chocolate 382 gr,$39.00,GAMESA,Abarrotes,HEB,05/07/2022
2325514,Pure de Tomate Natural del Fuerte 210 G Pure de 210 gr,$8.00,DEL FUERTE,Abarrotes,HEB,05/07/2022
1630597,Aceite Vegetal Alto 946 ml,$72.90,OLEICO,Abarrotes,HEB,05/07/2022
1753261,Lentejas Lenteja 500 gr,$15.90,MI TIENDA,Abarrotes,HEB,05/07/2022
1638682,Galletas Emperador Combinado 382 gr,$39.00,GAMESA,Abarrotes,HEB,05/07/2022
2611993,Not Mayo Garlic 350gr 350 gr,$71.00,NOTCO,Abarrotes,HEB,05/07/2022
2611992,Not Mayo Olive 350 gr,$71.00,NOTCO,Abarrotes,HEB,05/07/2022
